# file	function	callee	count
launcher/main/apps/sand/tools/dump_reactions.c	emit_shatter	printf	1
launcher/main/apps/sand/tools/dump_reactions.c	emit_soaks_row	snprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	emit_spoils	printf	1
launcher/main/apps/sand/tools/dump_reactions.c	emit_temperature	printf	4
launcher/main/apps/sand/tools/dump_reactions.c	emit_thaw	printf	2
launcher/main/apps/sand/tools/dump_reactions.c	emit_transform	printf	7
launcher/main/apps/sand/tools/dump_reactions.c	emit_warmth	printf	1
launcher/main/apps/sand/tools/dump_reactions.c	emit_wet	printf	5
launcher/main/apps/sand/tools/dump_reactions.c	expect_char	fprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	field_doc	fprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	field_docs_offsets_are_sound	fprintf	3
launcher/main/apps/sand/tools/dump_reactions.c	find_row	fprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	join_names	snprintf	2
launcher/main/apps/sand/tools/dump_reactions.c	legibility_overrides_are_sound	fprintf	2
launcher/main/apps/sand/tools/dump_reactions.c	legible_hex	snprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	main	fprintf	2
launcher/main/apps/sand/tools/dump_reactions.c	main	printf	5
launcher/main/apps/sand/tools/dump_reactions.c	mat_span	snprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	material_hex	snprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	parse_clause_text	fprintf	2
launcher/main/apps/sand/tools/dump_reactions.c	parse_field_name	fprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	print_example	printf	3
launcher/main/apps/sand/tools/dump_reactions.c	print_join_row	printf	1
launcher/main/apps/sand/tools/dump_reactions.c	print_marked	printf	6
launcher/main/apps/sand/tools/dump_reactions.c	print_plain	printf	2
launcher/main/apps/sand/tools/dump_reactions.c	rate_gap	snprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	read_whole_file	fprintf	4
launcher/main/apps/sand/tools/dump_reactions.c	store_cause	fprintf	2
launcher/main/apps/sand/tools/dump_reactions.c	store_cause	snprintf	2
launcher/main/apps/sand/tools/grid_fingerprint.c	main	printf	2
launcher/main/apps/sand/tools/grid_fingerprint.c	prepare_scene	fprintf	3
launcher/main/apps/sand/tools/grid_fingerprint.c	print_row	printf	3
launcher/main/apps/sand/tools/rng_low_bits.c	format_rows	snprintf	2
launcher/main/apps/sand/tools/rng_low_bits.c	format_step	snprintf	2
launcher/main/apps/sand/tools/rng_low_bits.c	main	printf	2
launcher/main/apps/sand/tools/rng_low_bits.c	print_bin_table	printf	8
launcher/main/apps/sand/tools/rng_low_bits.c	print_byte_section	printf	4
launcher/main/apps/sand/tools/rng_low_bits.c	print_conditional_section	printf	5
launcher/main/apps/sand/tools/rng_low_bits.c	print_hashed_section	printf	4
launcher/main/apps/sand/tools/rng_low_bits.c	print_joint_section	printf	4
launcher/main/apps/sand/tools/rng_low_bits.c	print_low_roll_table	printf	7
launcher/main/apps/sand/tools/rng_low_bits.c	print_period_section	printf	3
launcher/main/apps/sand/tools/rng_low_bits.c	print_pocket_row	printf	1
launcher/main/apps/sand/tools/rng_low_bits.c	print_pocket_table	printf	8
launcher/main/apps/sand/tools/rng_low_bits.c	print_pooled_line	printf	2
launcher/main/apps/sand/tools/sand_menu_render_host.c	options	fprintf	1
launcher/main/apps/sand/tools/serial_lag.c	main	printf	6
launcher/main/apps/sand/tools/shading_palette.c	common_setup	fprintf	4
launcher/main/apps/sand/tools/shading_palette.c	dp_write_stats	fprintf	3
